17700004012603522-201G6433997B,,,R70,,R2,,C158,,R69,,R3,,IC8,,IC3,,D11,,L5,,C150,,C100,
17700004012603522-201G6433997B,2020/07/20 11:04:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004022603522-202G6433997B,2020/07/20 11:04:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004032603522-203G6433997B,2020/07/20 11:04:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004042603522-204G6433997B,2020/07/20 11:04:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004052603522-201G6433997B,2020/07/20 11:05:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004062603522-202G6433997B,2020/07/20 11:05:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004072603522-203G6433997B,2020/07/20 11:05:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004082603522-204G6433997B,2020/07/20 11:05:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004092603522-201G6433997B,2020/07/20 11:06:27,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004102603522-202G6433997B,2020/07/20 11:06:27,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
